"borrowing","lemma","lang","context","newspaper","url","date","section","start_token","end_token"
"affaire","affaire","ENG","el que fue retratado el 'affaire' Taylor-Burton se les","elpais","https://elpais.com/gente/2020-08-06/elizabeth-taylor-y-richard-burton-siempre-estuvimos-locamente-enamorados-pero-nos-falto-tiempo.html","Thursday, 06 August 2020","portada","226","227"
"affaire","affaire","ENG","Kiko Matamoros por su supuesto 'affaire'. . Noche de emociones fuertes","lavanguardia","https://www.lavanguardia.com/gente/20200830/483190639077/kiko-matamoros-sofia-suescun-futbolista-kiko-jimenez-sabado-deluxe.html","Sunday, 30 August 2020","portada","36","37"
"affaire","affaire","ENG","la que había tenido un 'affaire' acababa de presentar una demanda","elconfidencial","https://www.elconfidencial.com/cultura/2020-08-01/escandalos-rodajes-historias-de-cine_2630364/","Saturday, 01 August 2020","cultura","461","462"
"after","after","ENG","de la Boqueria a modo de after improvisado es otro y, claro","lavanguardia","https://www.lavanguardia.com/cultura/20200816/482839325939/carlos-zanon-dani-nello-sidecar-rambla.html","Sunday, 16 August 2020","portada","1088","1089"
"after","after","ENG","días la Policía clausuró un 'after' donde bailaban 95 personas sin","elconfidencial","https://www.elconfidencial.com/espana/2020-08-02/cierres-discotecas-madrid-coronavirus-noche-mascarillas_2702536/","Sunday, 02 August 2020","espana","1391","1392"
"after sun","after sun","ENG","Dos noches de olor a 'after sun', ruido de radio de","lavanguardia","https://www.lavanguardia.com/opinion/20200827/483091422445/amor-de-verano.html","Thursday, 27 August 2020","portada","555","557"
"afters","after","ENG","huérfana de sus discotecas y 'afters'.","elconfidencial","https://www.elconfidencial.com/espana/2020-08-02/cierres-discotecas-madrid-coronavirus-noche-mascarillas_2702536/","Sunday, 02 August 2020","espana","2862","2863"
"afters","after","ENG","jurídico que permite que haya 'afters' aún abiertos. No se","eldiario","https://www.eldiario.es/sociedad/cuenta-aulas-expertos-piden-endurecer-medidas-zonas-coronavirus-evitar-explosion-contagios_1_6180112.html","Monday, 24 August 2020","portada","690","691"
"aftersun","aftersun","ENG","afectada.. . •Aplicar -sin frotar- aftersun y cremas muy hidratantes. Las","20minutos","https://www.20minutos.es/noticia/4360909/0/como-tratar-las-quemaduras-del-sol-en-ninos/","Wednesday, 26 August 2020","portada","249","250"
"aftersun","aftersun","ENG","que provoca el olor a 'aftersun' y a leche recién ordeñada","elpais","https://elpais.com/buenavida/bienestar/2020-08-15/el-sutil-arte-de-ser-ninos-en-verano-para-volver-a-casa-como-mejores-adultos.html","Saturday, 15 August 2020","portada","24","25"
"again","again","ENG",", de Niza a Niza 'again', como el sábado,","elpais","https://elpais.com/deportes/2020-08-28/un-tour-de-tres-velocidades.html","Friday, 28 August 2020","portada","1629","1630"
"alcohol non stop","alcohol non stop","ENG","masiva, precios baratos, 'alcohol non stop', dependencia del mercado británico-","elconfidencial","https://www.elconfidencial.com/cultura/2020-08-09/magaluf-libro-turismo-historia_2708328/","Sunday, 09 August 2020","cultura","3087","3090"
"all blacks","all black","ENG",". “Como la de los all blacks de rugby”, dicen los","elconfidencial","https://www.elconfidencial.com/deportes/ciclismo/2020-08-30/tour-francia-hinault-lemond-ciclismo_2729391/","Sunday, 30 August 2020","deporte","704","706"
"amateurs","amateur","ENG","caso no estamos hablando de 'amateurs,' sino de personas con","elpais","https://elpais.com/internacional/2020-08-21/golpistas-sobre-la-ola-de-una-protesta-popular.html","Friday, 21 August 2020","portada","696","697"
"amateurs","amateur","ENG","más llamativo, estos mineros 'amateurs' del covid-19 no tienen pensado","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-26/tuiteros-datos-coronavirus-espana-covid-gobierno_2724595/","Wednesday, 26 August 2020","tecnologia","1355","1356"
"amazing","amazing","ENG","tiene entre manos una idea 'amazing' que va a generar millones","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-17/entrepeneurs-espana-funcionarios-reputacion_2715076/","Monday, 17 August 2020","tecnologia","450","451"
"ambient","ambient","ENG","muy cercanos a las atmósferas 'ambient'. Cuando compone su música","elpais","https://elpais.com/cultura/2020-07-27/hildur-guonadottir-pienso-que-la-musica-es-una-buena-herramienta-para-concienciar-sobre-la-igualdad.html","Saturday, 01 August 2020","portada","612","613"
"amenities","amenity","ENG","detalles con desayunos caseros, 'amenities' naturales o flores frescas.","elpais","https://elpais.com/elviajero/2020/08/27/actualidad/1598523047_527039.html","Friday, 28 August 2020","portada","2027","2028"
"amenities","amenity","ENG","detalles con desayunos caseros, 'amenities' naturales o flores frescas.","elpais","https://elviajero.elpais.com/elviajero/2020/08/27/actualidad/1598523047_527039.html","Thursday, 27 August 2020","portada","2027","2028"
"amour fou","amour fou","OTHER",". Lo suyo fue un 'amour fou' que les abocó a un","elpais","https://elpais.com/gente/2020-08-06/elizabeth-taylor-y-richard-burton-siempre-estuvimos-locamente-enamorados-pero-nos-falto-tiempo.html","Thursday, 06 August 2020","portada","242","244"
"animal print","animal print","ENG","un giro de 180 grados al animal print, hemos recurrido a Mango para","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2020-08-21/vestido-rayas-original-mango-adelagaza-figura_2717199/","Friday, 21 August 2020","moda","160","162"
"animal print","animal print","ENG","vaquero, los topos o el animal print, no te costará demasiado encontrar","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/belleza/2020-08-24/combinar-manicura-con-mascarilla-esmalte-unas_2719275/","Monday, 24 August 2020","moda","487","489"
"animal print","animal print","ENG","composición: un espectacular kaftán de animal print. Se trata de un diseño","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2020-08-04/kaftan-vicky-martin-berrocal-sandalias-look_2703800/","Tuesday, 04 August 2020","moda","262","264"
"animal print","animal print","ENG","en nuestro armario. El 'animal print' es una de ellas porque","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2020-08-18/falda-conjunto-animal-print-tigre-pul-and-bear_2713988/","Tuesday, 18 August 2020","moda","55","57"
"animal print","animal print","ENG","en rojo y azul y con animal print de leopardo. Tres propuestas más","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2020-08-23/falda-nueva-coleccion-stradivarius-armario_2719039/","Sunday, 23 August 2020","moda","334","336"
"animal print","animal print","ENG","ligeramente satinado y el estampado de animal print son esos toques trendy que llaman","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2020-08-26/panuelo-estampado-barato-stradivarius-vaquero_2719783/","Wednesday, 26 August 2020","moda","313","315"
"animal print","animal print","ENG","no estén convencidas de que el animal print es un acierto habiendo llegado a","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/moda/2020-08-18/falda-conjunto-animal-print-tigre-pul-and-bear_2713988/","Tuesday, 18 August 2020","moda","423","425"
"anime","anime","ENG",", la que será su primer anime español, contaría con las voces","eldiario","https://vertele.eldiario.es/noticias/Michelle-Jenner-nuevo-trailer-memorias-de-idhun-reaviva-polemica-doblaje_2_2263293649.html","Friday, 28 August 2020","television","395","396"
"anime","anime","ENG","', que será su primer anime español, llegará el 10 de","eldiario","https://vertele.eldiario.es/noticias/memorias-de-idhun-netflix-estreno-fecha-michelle-jenner-sergio-mur-carlos-cuevas_2_2258794099.html","Thursday, 13 August 2020","television","39","40"
"anime","anime","ENG",". . Además del manga y el anime, a Nerea le gustan los","elpais","https://elpais.com/revista-de-verano/2020-08-06/nerea-luis-de-fan-del-manga-a-doctora-en-inteligencia-artificial.html","Thursday, 06 August 2020","portada","300","301"
"anime","anime","ENG","Idhún', su primera serie anime española. . El movimiento fan en","eldiario","https://vertele.eldiario.es/noticias/Gran-Hermano-Netflix-catalogo-plataforma-responde_0_2256674317.html","Thursday, 06 August 2020","television","105","106"
"anime","anime","ENG","a los personajes protagonistas en el anime que estrenará la plataforma el próximo","eldiario","https://vertele.eldiario.es/noticias/Laura-Gallego-posiciona-polemica-Memorias-Idhun-Netflix_0_2258774114.html","Thursday, 13 August 2020","television","146","147"
"answer song","answer song","ENG",", como tal, la 'answer song' se popularizó en la década","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","719","721"
"answer song","answer song","ENG","del tiempo, la fiebre 'answer song' creció y creció. Especialmente","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","750","752"
"answer song","answer song","ENG",". Aunque si hay una 'answer song' famosa anterior a las más","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","412","414"
"answer songs","answer song","ENG","posición hermética— destacan las 'answer songs' que se dedicaron, entre","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","1467","1469"
"answer songs","answer song","ENG","un vistazo a las llamadas 'answer songs', esto es, las","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","212","214"
"answer songs","answer song","ENG","el golpe. Las llamadas ‘answer songs’ han sido una buena manera","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","10","12"
"answer songs","answer song","ENG","fenómeno que entre las últimas 'answer songs' hay incluso respuestas masculinas a","elpais","https://elpais.com/cultura/2020/07/30/babelia/1596124484_566599.html","Wednesday, 05 August 2020","portada","1604","1606"
"antibrexit","antibrexit","ENG","Froome ni Thomas: el ‘antibrexit’ del Ineos para el Tour","elpais","https://elpais.com/deportes/2020-08-19/el-ineos-deja-a-froome-y-thomas-fuera-de-su-seleccion-para-el-tour.html","Wednesday, 19 August 2020","deporte","7","8"
"app","app","ENG","que ""ahora mismo la 'app' funciona y registra vuestros contactos","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-12/app-covid19-descargar-radar-usar-ccaa_2709800/","Wednesday, 12 August 2020","tecnologia","240","241"
"app","app","ENG","entendimiento. Una prestación basada en app ya existentes y que se realizará","abc","https://www.abc.es/economia/abci-telefonica-y-melia-trabajan-primer-hotel-espana-202008200153_noticia.html","Thursday, 20 August 2020","economia","542","543"
"app","app","ENG","que el éxito de la 'app' no provendrá de ella misma","elpais","https://elpais.com/tecnologia/2020-08-15/radar-covid-una-app-con-buenas-intenciones-de-incierta-eficacia.html","Saturday, 15 August 2020","portada","810","811"
"app","app","ENG","coronavirus ( 'COVID Symptom Study app' ) afirmó que los efectos","eldiario","https://www.eldiario.es/sociedad/fatiga-covid-19-culpa-virus-estres-postraumatico_1_6148668.html","Thursday, 06 August 2020","sociedad","218","219"
"app","app","ENG","que emplear cuando descargue la «app» en otro dispositivo. Como","abc","https://www.abc.es/tecnologia/consultorio/abci-cinco-consejos-para-nadie-espie-conversaciones-whatsapp-202008170209_noticia.html","Monday, 17 August 2020","tecnologia","249","250"
"app","app","ENG","instala ‘Vysor’, la app para controlar el móvil desde el","20minutos","https://www.20minutos.es/noticia/4353841/0/vysor-la-app-que-comparte-la-pantalla-de-un-movil-y-te-permite-controlarla-remotamente-desde-otro-dispositivo/","Wednesday, 19 August 2020","tecnologia","225","226"
"app","app","ENG","coronavirus. Radar COVID es una app para teléfono móvil que avisa a","efe","https://www.efesalud.com/radar-covid-aplicacion-proximidad-positivos-de-coronavirus/","Monday, 03 August 2020","salud","20","21"
"app","app","ENG","entre esta versión de la «app» y la que estará disponible","abc","https://www.abc.es/tecnologia/moviles/aplicaciones/abci-radar-covid-sera-rastreo-coronavirus-cuando-funcione-toda-espana-202008101457_noticia.html","Monday, 10 August 2020","portada","757","758"
"app","app","ENG","contactos (siempre que usen la app) de un contagiado, ya","lavanguardia","https://www.lavanguardia.com/vida/20200811/482781120713/app-radar-covid-rastreo-contagios-descargarse.html","Tuesday, 11 August 2020","portada","774","775"
"app","app","ENG","que eran a través de una app que les mandaba notificaciones a intervalos","elconfidencial","https://www.elconfidencial.com/alma-corazon-vida/2020-08-04/reir-frecuentemennte-alivia-estres-sonrisa-ayuda_2701612/","Tuesday, 04 August 2020","gente","212","213"
"app","app","ENG","uso de TikTok y otras “app” chinas tras el enfrentamiento militar","lavanguardia","https://www.lavanguardia.com/tecnologia/aplicaciones/20200806/482689363532/instagram-reels-tiktok.html","Thursday, 06 August 2020","portada","252","253"
"app","app","ENG","contagios ya puede descargarse. La app Radar Covid, desarrollada por el","lavanguardia","https://www.lavanguardia.com/vida/20200811/482781120713/app-radar-covid-rastreo-contagios-descargarse.html","Tuesday, 11 August 2020","portada","14","15"
"app","app","ENG",". La navegación dentro de la app se realiza a través del mando","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-04/telefonica-movistar-apple-tv_2704931/","Tuesday, 04 August 2020","tecnologia","178","179"
"app","app","ENG","contrario, solo habría una 'app' por territorio. En el","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-14/radarcovid-funcional-capada-comunidades-autonomas_2713223/","Friday, 14 August 2020","tecnologia","706","707"
"app","app","ENG","que funcione en sus territorios la app Radar Covid, como ya funciona","lavanguardia","https://www.lavanguardia.com/politica/20200826/483059554295/sanchez-estado-de-alarma-autonomias-covid.html","Wednesday, 26 August 2020","portada","635","636"
"app","app","ENG",". La nueva funcionalidad de la app de mensajería más utilizada en el","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-04/whatsapp-permite-verificar-enlace-recibido-bulo_2704759/","Tuesday, 04 August 2020","tecnologia","19","20"
"app","app","ENG","Costaba comprender cómo evolucionaba la 'app'. Escasas intervenciones oficiales y","elpais","https://elpais.com/tecnologia/2020-08-15/radar-covid-una-app-con-buenas-intenciones-de-incierta-eficacia.html","Saturday, 15 August 2020","portada","255","256"
"app","app","ENG","que estas generen en la 'app' .. . Entre los '","20minutos","https://www.20minutos.es/noticia/4338262/0/peoople-la-red-social-espanola-basada-en-las-recomendaciones-que-triunfa-en-medio-de-la-crisis/","Tuesday, 04 August 2020","tecnologia","307","308"
"app","app","ENG","lo están haciendo en otra 'app' que sirve para exactamente lo","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-25/app-radar-covid-paises-bajos_2724828/","Tuesday, 25 August 2020","tecnologia","172","173"
"app","app","ENG","usuarios se aseguren de que la app que están utilizando es legítima y","abc","https://www.abc.es/tecnologia/consultorio/abci-radar-covid-consejos-para-usar-rastreo-coronavirus-espanola-forma-segura-202008070107_noticia.html","Friday, 07 August 2020","portada","698","699"
"app","app","ENG",""" de activación de la 'app' que ""depende del Ministerio","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-14/radarcovid-funcional-capada-comunidades-autonomas_2713223/","Friday, 14 August 2020","tecnologia","1847","1848"
"app","app","ENG","inutilizaría el juego y cualquier otra app de la compañía, incluso para","elmundo","https://www.elmundo.es/tecnologia/videojuegos/2020/08/19/5f3d5c3221efa059378b4631.html","Wednesday, 19 August 2020","portada","502","503"
"app","app","ENG","Covid: así funciona la ‘app’ solidaria contra el coronavirus. ","elpais","https://elpais.com/tecnologia/2020-08-29/radar-covid-asi-funciona-la-app-solidaria-contra-el-coronavirus.html","Sunday, 30 August 2020","tecnologia","7","8"
"app","app","ENG","lo mejor es consultar con una app específica. Esta recoge más de","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/ocio/2020-08-04/app-aplicaciones-verano-vacaciones_2642952/","Tuesday, 04 August 2020","moda","338","339"
"app","app","ENG","usuarios se han descargado ya la app necesaria para ser cliente. «","elmundo","https://www.elmundo.es/motor/2020/08/28/5f4834e2fdddffa9b38b45b5.html","Friday, 28 August 2020","motor","205","206"
"app","app","ENG",""", se lee en la app española una vez activada. ""","eldiario","https://www.eldiario.es/tecnologia/si-descargas-app-radar-covid-no-esperes-avisos-riesgo-contagio-necesita-integracion-autonomica-operativa_1_6158485.html","Tuesday, 11 August 2020","portada","724","725"
"app","app","ENG","que integran sus sistemas con dicha app y posteriormente irán incorporándose, de","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-20/app-radar-covid-funciona-solo-andalucia-cantabria-extremadura_2720616/","Thursday, 20 August 2020","tecnologia","158","159"
"app","app","ENG",""". ""Necesitamos una 'app' en español. No lo","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-25/app-radar-covid-paises-bajos_2724828/","Tuesday, 25 August 2020","tecnologia","92","93"
"app","app","ENG","que la fase piloto de la app contra el covid-19 había concluido ""","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-10/cuando-descargar-app-radar-covid-coronavirus_2709800/","Monday, 10 August 2020","tecnologia","71","72"
"app","app","ENG","Covid: así será la «app» de rastreo del coronavirus cuando","abc","https://www.abc.es/tecnologia/moviles/aplicaciones/abci-radar-covid-sera-rastreo-coronavirus-cuando-funcione-toda-espana-202008101457_noticia.html","Monday, 10 August 2020","portada","7","8"
"app","app","ENG","es obligatorio el uso de la app Spain Travel Health (SpTH)","lavanguardia","https://www.lavanguardia.com/participacion/cartas/20200824/482972495661/analisis-temporada-turistica-marca-espana.html","Monday, 24 August 2020","salud","303","304"
"app","app","ENG","ve en un aprieto y la app comunicará a los supervisores esta circunstancia","elpais","https://retina.elpais.com/retina/2020/08/03/innovacion/1596461967_485304.html","Monday, 03 August 2020","portada","449","450"
"app","app","ENG","iOS. . WhatsApp, la 'app' de mensajería por excelencia en","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-12/novedades-whatsapp_2711416/","Wednesday, 12 August 2020","tecnologia","50","51"
"app","app","ENG","Covid-19. Recordemos que la «app» funciona a través de Bluetooth","abc","https://www.abc.es/tecnologia/moviles/aplicaciones/abci-radar-covid-sera-rastreo-coronavirus-cuando-funcione-toda-espana-202008101457_noticia.html","Monday, 10 August 2020","portada","418","419"
"app","app","ENG","lo que no había es una app creada específicamente para matar a personas","elmundo","https://www.elmundo.es/tecnologia/2020/08/04/5f28595efc6c83027d8b461b.html","Tuesday, 04 August 2020","portada","114","115"
"app","app","ENG","jefe de Producto de la 'app', Sujoyy Banerjee, están","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-19/google-maps-pasos-de-cebra-mapas-mejorados_2718984/","Wednesday, 19 August 2020","tecnologia","158","159"
"app","app","ENG","Covid hoy mismo, la 'app' podría comunicar en pocas horas","elpais","https://elpais.com/tecnologia/2020-08-11/radar-covid-la-aplicacion-espanola-ya-rastrea-los-contagios-aunque-aun-no-manda-alertas.html","Tuesday, 11 August 2020","tecnologia","370","371"
"app","app","ENG","lo verás.. . Esta 'app' recopila lo que haces durante","20minutos","https://www.20minutos.es/noticia/4343919/0/te-olvidas-rapido-de-lo-que-has-visitado-en-vacaciones-esta-app-recopila-lo-que-haces-durante-el-dia-y-no-lo-comparte/","Monday, 10 August 2020","tecnologia","105","106"
"app","app","ENG","Covid. El éxito de la app Radar Covid, que el Gobierno","lavanguardia","https://www.lavanguardia.com/vida/20200823/482962691961/radar-covid-aplicacion-app-preguntas-coronavirus-contagios-movil.html","Sunday, 23 August 2020","salud","10","11"
"app","app","ENG","jueves al Gobierno que aplicará la app Radar Covid ""cuando lo determinemos","eldiario","https://www.eldiario.es/comunitat-valenciana/sociedad/gobierno-valenciano-duda-aplicacion-radar-covid-distorsionar-protocolo-rastreo-e-insinua-no-utilizara_1_6186047.html","Thursday, 27 August 2020","portada","401","402"
"app","app","ENG","que iba a desarrollar una 'app' de rastreo de contagios.","elpais","https://elpais.com/tecnologia/2020-08-11/radar-covid-la-aplicacion-espanola-ya-rastrea-los-contagios-aunque-aun-no-manda-alertas.html","Tuesday, 11 August 2020","tecnologia","817","818"
"app","app","ENG","crecimiento ha sido imparable: la app tiene más de 900 millones de","elpais","https://elpais.com/economia/2020-08-25/ant-group-ultima-la-que-puede-ser-la-mayor-salida-a-bolsa-de-la-historia.html","Tuesday, 25 August 2020","portada","235","236"
"app","app","ENG","vetó recientemente a la popular «app» china de vídeos musicales forzando","abc","https://www.abc.es/tecnologia/redes/abci-triller-quiere-sustituir-tiktok-y-tiene-trump-como-influencer-202008181041_noticia.html","Tuesday, 18 August 2020","tecnologia","119","120"
"app","app","ENG","crear vídeos más complejo, la app tiene opciones de grabar 'timelapse","lavanguardia","https://www.lavanguardia.com/tecnologia/20200826/483074369025/zoom-hitchock-osmo-mobile-4.html","Wednesday, 26 August 2020","portada","428","429"
"app","app","ENG","que Radar Covid, la «app» oficial impulsada por el Gobierno","abc","https://www.abc.es/tecnologia/moviles/aplicaciones/abci-covid-radar-no-radar-covid-aunque-parezca-aplicacion-holandesa-provoca-confusion-espanoles-202008261233_noticia.html","Wednesday, 26 August 2020","tecnologia","409","410"
"app","app","ENG","los ciudadanos deberían bajarse la 'app' RadarCOVID.. . ? Desterremos","elconfidencial","https://www.elconfidencial.com/espana/2020-08-25/frases-pedro-sanchez-comparecencia-25-agosto_2724643/","Tuesday, 25 August 2020","espana","440","441"
"app","app","ENG","cuenta de Facebook y descargando la app para Android e iOS, con","lavanguardia","https://www.lavanguardia.com/internacional/20200810/482768331619/explosion-baltimore-estados-unidos.html","Monday, 10 August 2020","internacional","299","300"
"app","app","ENG","la ""pasividad"" con la app de rastreo. Ciudadanos se ha","elmundo","https://www.elmundo.es/espana/2020/08/24/5f42a6eb21efa0164b8b4642.html","Monday, 24 August 2020","espana","11","12"
"app","app","ENG","que realicemos para usar en la app, sin embargo también nos permite","20minutos","https://www.20minutos.es/noticia/4341296/0/malware-phishing-spoofing-expertos-en-ciberdelitos-detectan-un-alud-de-ataques-aprovechando-la-pandemia/","Saturday, 01 August 2020","portada","1088","1089"
"app","app","ENG","que incluiría documentación de la 'app' en términos epidemiológicos así como","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-14/radarcovid-funcional-capada-comunidades-autonomas_2713223/","Friday, 14 August 2020","tecnologia","1305","1306"
"app","app","ENG","Cuando alguien comunica en la 'app' que ha dado positivo en","elpais","https://elpais.com/tecnologia/2020-08-04/como-funciona-respeta-la-privacidad-podre-usarla-fuera-de-espana-resolvemos-las-dudas-sobre-la-app-de-rastreo.html","Tuesday, 04 August 2020","portada","866","867"
"app","app","ENG","dar una pista. La 'app' española, RadarCOVID —que","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-25/app-radar-covid-paises-bajos_2724828/","Tuesday, 25 August 2020","tecnologia","412","413"
"app","app","ENG","La 'app' del radar covid-19, lista","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-12/app-covid19-descargar-radar-usar-ccaa_2709800/","Wednesday, 12 August 2020","tecnologia","2","3"
"app","app","ENG","que se comparte con la «app» la fecha, la duración","abc","https://www.abc.es/tecnologia/moviles/aplicaciones/abci-radar-covid-aplicacion-espanola-para-rastreo-coronavirus-llegara-septiembre-todo-pais-202008031322_noticia.html","Monday, 03 August 2020","tecnologia","1106","1107"
"app","app","ENG","que la compañía que compre la app debe lograr un trato adecuado de","abc","https://www.abc.es/internacional/abci-trump-prohibira-tiktok-15-septiembre-si-no-vende-antes-operaciones-eeuu-202008040942_noticia.html","Tuesday, 04 August 2020","internacional","70","71"
"app","app","ENG","La app española 'Radar Covid' ""","20minutos","https://www.20minutos.es/noticia/4343424/0/app-rastreo-contagiadfos-supera-prueba-dobla-contactos-detectados/","Monday, 03 August 2020","portada","1","2"
"app","app","ENG",".. . - Alinear: la app ayuda a alinear los objetos de","elpais","https://elpais.com/tecnologia/2020-08-10/instagram-aprovecha-la-crisis-de-tiktok-en-ee-uu-para-promover-reels.html","Monday, 10 August 2020","tecnologia","1285","1286"
"app","app","ENG","viajar entre países europeos. La app de España se basa en el","lavanguardia","https://www.lavanguardia.com/vida/20200813/482798980805/app-radar-covid-lidera-descargas-ios-android.html","Thursday, 13 August 2020","salud","1061","1062"
"app","app","ENG","víctimas a través de la propia app de mensajería instantánea haciéndose pasar por","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-08-18/whatsapp-sms-hacker-robar-cuenta_2714124/","Tuesday, 18 August 2020","tecnologia","40","41"
