"borrowing","lemma","lang","context","newspaper","url","date","section","start_token","end_token"
"app","app","ENG","Es necesario disponer de la «app» Messenger para hacerlo. Para","abc","https://www.abc.es/tecnologia/consultorio/abci-whatsapp-como-hacer-videollamadas-hasta-50-personas-202005181000_noticia.html","Monday, 18 May 2020",,,
"app","app","ENG","lo primero es descargarse su app móvil para poder conectarla a","20minutos","https://www.20minutos.es/noticia/4250944/0/el-aplicador-de-mascarilla-de-foreo-mas-famoso-de-instagram-esta-rebajado-ahora-casi-a-mitad-de-precio-en-amazon/","Friday, 08 May 2020",,,
"app","app","ENG","que no necesitamos usar la app en casa, está claro","20minutos","https://www.20minutos.es/noticia/4248123/0/la-onu-lanza-un-app-para-mantener-la-distancia-social-y-los-expertos-la-tachan-de-ineficaz/","Wednesday, 06 May 2020",,,
"app","app","ENG","lógico es que en cada app aparezca un listado de regiones","elpais","https://elpais.com/tecnologia/2020-05-23/las-apps-de-rastreo-de-contagios-refuerzan-a-las-tecnologicas-de-estados-unidos.html","Saturday, 23 May 2020",,,
"app","app","ENG","$, la vendían en la app a 16$. Siendo una empresa grande","20minutos","https://www.20minutos.es/gonzoo/noticia/4267168/0/un-pizzero-gana-dinero-comprandose-pizzas-a-si-mismo-en-una-app-de-reparto-con-descuento/","Friday, 22 May 2020",,,
"app","app","ENG","COVID-19 tendrían que indicarlo a la app y de esta manera, cuando","eldiario","https://www.eldiario.es/tecnologia/iPhone-actualizacion-detecta-mascarilla-desbloquear_0_1029248253.html","Wednesday, 20 May 2020",,,
"app","app","ENG",". Tampoco hay operativa ninguna app móvil qu facilite este trabajo","elconfidencial","https://www.elconfidencial.com/espana/2020-05-04/sanidad-pcr-sospechosos-covid-19-24-horas_2579368/","Monday, 04 May 2020",,,
"app","app","ENG","los casos más obvios. La app puede ayudar con cruces difíciles de","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG","% del contenido publicado en la app tiene a uno detrás, pero","elpais","https://retina.elpais.com/retina/2020/05/05/innovacion/1588672353_980044.html","Tuesday, 05 May 2020",,,
"app","app","ENG","Esta app copia un objeto del mundo real","20minutos","https://www.20minutos.es/noticia/4246596/0/esta-app-copia-un-objeto-del-mundo-real-y-lo-traslada-desde-el-movil-al-ordenador/","Tuesday, 05 May 2020",,,
"app","app","ENG","%, y por la app sólo un 1,1%.","20minutos","https://www.20minutos.es/noticia/4249527/0/internet-y-confinamiento-79-horas-de-conexion-a-la-semana-compras-en-horario-laboral-peliculas-y-series/","Thursday, 07 May 2020",,,
"app","app","ENG","los datos que recopila la app será elMinisterio de Sanidad.","20minutos","https://www.20minutos.es/noticia/4248341/0/la-app-del-gobierno-que-te-permite-autoevaluarte-de-sintomas-de-coronavirus-suma-10-000-descargas/","Wednesday, 06 May 2020",,,
"app","app","ENG","Esta app mide el nivel de exposición","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-27/covid-coronavirus-riesgo-exposicion-minsait-bra_2600307/","Wednesday, 27 May 2020",,,
"app","app","ENG","datos que existe en la 'app' Untappd, una aplicación para","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-28/untappd-aplicacion-cerveceria-cerveza-espias_2599803/","Thursday, 28 May 2020","tecnologia","192","193"
"app","app","ENG","que se establecen en la app son más numerosas y,","elconfidencial","https://www.elconfidencial.com/espana/2020-05-09/coronavirus-jovenes-sexo-confinamiento_2586863/","Saturday, 09 May 2020",,,
"app","app","ENG",".. . ¿Cree que la app del coronavirus se sumaría a este","elpais","https://retina.elpais.com/retina/2020/05/26/talento/1590502392_549399.html","Tuesday, 26 May 2020",,,
"app","app","ENG","los empleados recibirán en su app móvil. También aporta información","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-27/covid-coronavirus-riesgo-exposicion-minsait-bra_2600307/","Wednesday, 27 May 2020",,,
"app","app","ENG","que les convierte en la app más rentable del mercado.","eldiario","https://www.eldiario.es/sociedad/velatorios-online-rechazo-funerarias_0_1021898724.html","Sunday, 03 May 2020 20:50:28 +0200",,,
"app","app","ENG","que se integra en la propia app de WhatsApp, que (casi","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-10/pagos-moviles-nfc-bancos-moviles_2582527/","Sunday, 10 May 2020",,,
"app","app","ENG","que los empleados lleven esta app en sus dispositivos tampoco será","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG","volver al fútbol? Bájate esta app. Los sistemas de rastreo","elpais","https://elpais.com/tecnologia/2020-05-04/quieres-volver-al-futbol-bajate-esta-app-los-sistemas-de-rastreo-que-espana-aun-no-debate.html","Monday, 04 May 2020",,,
"app","app","ENG",", a través de la app de pago Bizum o mediante","elconfidencial","https://www.elconfidencial.com/empresas/2020-05-20/iniciativa-vamos-fundacion-ibercaja-ancianos_2603803/","Wednesday, 20 May 2020",,,
"app","app","ENG","que se utiliza una determinada «app». Pero, también se","abc","https://www.abc.es/tecnologia/consultorio/abci-como-ahorrar-bateria-iphone-202005210154_noticia.html","Thursday, 21 May 2020",,,
"app","app","ENG","los hijos se familiaricen con la app y que se conecten de manera","abc","https://www.abc.es/familia/educacion/abci-coronavirus-confinamiento-hace-hijo-movil-mientras-teletrabajas-202005190152_noticia.html","Tuesday, 19 May 2020",,,
"app","app","ENG","web del restaurante o a la app de entrega a domicilio que trabaje","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/ocio/2020-05-22/app-restaurantes-envio-a-domicilio-google-maps_2594595/","Friday, 22 May 2020",,,
"app","app","ENG","web o se descarga su app (disponible para iOs y","20minutos","https://www.20minutos.es/noticia/4272697/0/taxdown-la-app-con-la-que-se-puede-ahorrar-mas-de-500-euros-revisando-el-borrador-de-la-renta/","Saturday, 30 May 2020",,,
"app","app","ENG",".. . El piloto de la app necesita de al menos dos etapas","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG","y a través de la app de la Agencia Tributaria.","elconfidencial","https://www.elconfidencial.com/economia/2020-05-26/oficinas-agencia-tributaria-campana-renta_2611427/","Tuesday, 26 May 2020",,,
"app","app","ENG",".. . Focus Booster. . Esta app se basa en la técnica Pomodoro","20minutos","https://www.20minutos.es/noticia/4252109/0/trabajas-mas-desde-que-teletrabajas-siete-apps-para-gestionar-tu-tiempo/","Saturday, 09 May 2020",,,
"app","app","ENG",".. . Funcionamiento. . La app no será obligatoria ni usará datos","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG","y el desarrollo de una app de rastreo de contactos.","elpais","https://elpais.com/espana/2020-05-16/el-estado-de-alarma-un-bosque-de-209-normas-excepcionales.html","Saturday, 16 May 2020",,,
"app","app","ENG",", de momento, que la app vaya a desplegarse por toda España","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG","la hora de descargar alguna «app», hay que vigilar los","abc","https://www.abc.es/tecnologia/redes/abci-como-protegerte-virus-informaticos-mas-peligrosos-internet-202005150118_noticia.html","Friday, 15 May 2020",,,
"app","app","ENG",".. . Rescue Time. . Esta app también está disponible tanto en la","20minutos","https://www.20minutos.es/noticia/4252109/0/trabajas-mas-desde-que-teletrabajas-siete-apps-para-gestionar-tu-tiempo/","Saturday, 09 May 2020",,,
"app","app","ENG","de Beabloo es crear una app de realidad aumentada que permita","elpais","https://elpais.com/tecnologia/2020-05-01/tiene-38-no-puede-entrar-a-la-tienda-llega-la-toma-de-temperatura-contra-la-covid.html","Friday, 01 May 2020 14:55:15 +0000",,,
"app","app","ENG","están trabajando para crear una app que permita a los usuarios","elpais","https://elpais.com/tecnologia/2020-05-14/la-tecnologia-de-tus-auriculares-inalambricos-ahora-sirve-para-rastrear-contagios-estas-son-sus-debilidades.html","Thursday, 14 May 2020",,,
"app","app","ENG",".. . También se utilizará la app SpiaggiaTi para reserva un","20minutos","https://www.20minutos.es/noticia/4275736/0/italia-reabre-playas-ayuda-apps-vigilantes/","Saturday, 30 May 2020",,,
"app","app","ENG","La investigación se realizó mediante una app en la que los 2,5 millones","20minutos","https://www.20minutos.es/noticia/4261856/0/perdida-olfato-podra-alerta-temprana-infeccion-coronavirus/","Monday, 18 May 2020",,,
"app","app","ENG","rankings, la app estuvo entre las más descargadas","elpais","https://verne.elpais.com/verne/2020/05/01/articulo/1588330590_985171.html","Saturday, 02 May 2020 08:12:26 +0000",,,
"app","app","ENG","de las dos opciones, la app seleccionará sobre un mapa de la","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/ocio/2020-05-22/app-restaurantes-envio-a-domicilio-google-maps_2594595/","Friday, 22 May 2020",,,
"app","app","ENG","la parte inferior de la app, habrá que acotar el","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-01/calcular-kilometro-app-salidas-estado-alarma_2566207/","Friday, 01 May 2020 14:44:00 +0200",,,
"app","app","ENG","Read Along, una app gratuita de Google con profesora animada","20minutos","https://www.20minutos.es/noticia/4254042/0/read-along-una-app-gratuita-de-google-con-profesora-animada-virtual-para-que-los-peques-aprendan-a-leer/","Monday, 11 May 2020",,,
"app","app","ENG","Europea.. . La verdadera app de Google y Apple. . ","20minutos","https://www.20minutos.es/noticia/4274412/0/google-desmiente-el-bulo-de-la-supuesta-app-secreta-de-la-covid-19-que-vigila-al-usario-no-estamos-espiando-a-nadie/","Friday, 29 May 2020",,,
"app","app","ENG","y su destino turístico. La app emplea la tecnología bluetooth para saber","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG","la peluquería. Aunque la app va más allá, pues","elpais","https://elpais.com/tecnologia/2020-05-07/de-calcular-un-kilometro-a-probar-cortes-de-pelo-con-el-movil-las-apps-mas-utiles-durante-la-desescalada.html","Friday, 08 May 2020",,,
"app","app","ENG","realmente, afirma la app para solicitar a los usuarios","elpais","https://elpais.com/tecnologia/2020-05-06/una-app-para-evitar-aglomeraciones-con-informacion-que-llega-desde-el-espacio.html","Wednesday, 06 May 2020",,,
"app","app","ENG","de contagios. India usa una app con más de 50 millones de","elpais","https://elpais.com/tecnologia/2020-05-04/quieres-volver-al-futbol-bajate-esta-app-los-sistemas-de-rastreo-que-espana-aun-no-debate.html","Monday, 04 May 2020",,,
"app","app","ENG","de los usuarios de una app así. En Francia,","elconfidencial","https://www.elconfidencial.com/mundo/europa/2020-05-05/isla-de-wight-pruebas-estrategia-reino-unido-desconfinamiento_2578379/","Tuesday, 05 May 2020",,,
"app","app","ENG","la seguridad dentro de la app. Aún así,","elpais","https://retina.elpais.com/retina/2020/05/20/talento/1590000496_652417.html","Wednesday, 20 May 2020",,,
"app","app","ENG","reporten sus síntomas. . La app, como otras muchas análogas","elconfidencial","https://www.elconfidencial.com/mundo/europa/2020-05-05/isla-de-wight-pruebas-estrategia-reino-unido-desconfinamiento_2578379/","Tuesday, 05 May 2020",,,
"app","app","ENG","ya algunos gobiernos.. . La app tampoco aparecería en principio en las","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG",", esta vez usando una elitista app de citas llamada Raya.. . ","20minutos","https://www.20minutos.es/noticia/4261289/0/matthew-perry-busca-pareja-en-una-elitista-app-de-citas-llamada-raya/","Monday, 18 May 2020",,,
"app","app","ENG","ya lleva una versión de la app emitiendo señales de bluetooth con el","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG","de luz ultravioleta, una app con recomendaciones alimentarias para reforzar","elpais","https://elpais.com/tecnologia/2020-05-26/mascarillas-para-electrocutar-el-virus-y-otros-proyectos-enganosos-vetados-por-el-crowfunding.html","Tuesday, 26 May 2020",,,
"app","app","ENG",": las empresas piden la app de rastreo que el Gobierno","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG",": modo oscuro en su app y privacidad intuitiva en Chrome","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-20/novedades-google-app-chrome_2603267/","Wednesday, 20 May 2020",,,
"app","app","ENG","explican desde TaxDown. En la app que ayudan a ahorrar en la","abc","https://www.abc.es/economia/declaracion-renta/abci-cinco-trucos-para-confirmar-declaracion-renta-2019-2020-menor-tiempo-posible-y-sin-errores-202005260200_noticia.html","Tuesday, 26 May 2020",,,
"app","app","ENG","de ello.. . Una app de futuro. . Uno de los","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-29/google-instala-app-secreta-movil-coronavirus_2616859/","Friday, 29 May 2020",,,
"app","app","ENG","más fácil. Ayúdate de esta app para ponerte en forma. Tiene","elconfidencial","https://www.vanitatis.elconfidencial.com/estilo/ocio/2020-05-28/ejercicio-fisico-tabata-app-entrenamiento-hiit_2595419/","Thursday, 28 May 2020",,,
"app","app","ENG","? A través de la app de Google Arts & Culture","elconfidencial","https://www.elconfidencial.com/cultura/2020-05-18/dia-internacional-de-los-museos-google_2598967/","Monday, 18 May 2020",,,
"app","app","ENG","se ha descargado alguna aplicación (app) durante el confinamiento, por","eldiario","https://www.eldiario.es/tecnologia/diario-movil-crece-horas-confinamiento_0_1033096847.html","Sunday, 31 May 2020",,,
"app","app","ENG","de entrada desalentador: tu app ha sido suspendida y eliminada","elpais","https://retina.elpais.com/retina/2020/05/29/innovacion/1590774607_963078.html","Friday, 29 May 2020",,,
"app","app","ENG","medidas establecidas.. . Una app para evitar aglomeraciones. . Andalucía","20minutos","https://www.20minutos.es/noticia/4263278/0/coronavirus-junta-recomienda-playa-cuatro-horas-dia-duchado-sin-tragar-agua/","Tuesday, 19 May 2020",,,
"app","app","ENG","de salud pública, y la app no contiene ningún mecanismo de monetización","elpais","https://retina.elpais.com/retina/2020/05/29/innovacion/1590774607_963078.html","Friday, 29 May 2020",,,
"app","app","ENG","«Cuando se use la app».. . Si desea","abc","https://www.abc.es/tecnologia/consultorio/abci-trucos-para-smartphone-no-espie-ubicacion-202005300119_noticia.html","Saturday, 30 May 2020",,,
"app","app","ENG","mejorar el ecosistema de la «app» fotográfica. Según afirma Instagram","abc","https://www.abc.es/tecnologia/consultorio/abci-truco-para-eliminar-golpe-todos-comentarios-instagram-202005160111_noticia.html","Saturday, 16 May 2020",,,
"app","app","ENG",", los alemanes que instalen la app de rastreo y decidan participar voluntariamente","eldiario","https://www.eldiario.es/tecnologia/alemana-controlar-coronavirus-servir-ejemplo_0_1024348404.html","Wednesday, 06 May 2020",,,
"app","app","ENG","Se trata de la app GeoVictoria, una herramienta que","eldiario","https://www.eldiario.es/sociedad/empresa-chilena-implementar-Colombia-controlar_0_1030647303.html","Sunday, 24 May 2020",,,
"app","app","ENG","metros. Los móviles con la app emitirán y recibirán códigos anónimos que","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG",", los usuarios de la app de citas Tinder pasaban más","elpais","https://retina.elpais.com/retina/2020/05/20/talento/1590000496_652417.html","Wednesday, 20 May 2020",,,
"app","app","ENG","sello institucional que lleve a una app a las stores. Precisamente,","elpais","https://retina.elpais.com/retina/2020/05/29/innovacion/1590774607_963078.html","Friday, 29 May 2020",,,
"app","app","ENG","reportado a través de la «app» que presenta síntomas de coronavirus","abc","https://www.abc.es/tecnologia/informatica/soluciones/abci-llega-herramienta-rastro-contagios-covid-19-apple-y-google-tiene-respaldo-veinte-paises-202005201901_noticia.html","Wednesday, 20 May 2020",,,
"app","app","ENG","semana después de salir, la app de Quibi salió de la lista","elpais","https://elpais.com/television/2020-05-24/quibi-la-plataforma-aplastada-por-el-coronavirus.html","Saturday, 23 May 2020",,,
"app","app","ENG",", Nadia Calviño.. . La app será un proyecto de la Secretaría","eldiario","https://www.eldiario.es/tecnologia/AEPV-investigara-infecciosos-anunciada-Gobierno_0_1029597933.html","Thursday, 21 May 2020",,,
"app","app","ENG","del modo oscuro a su app, un cambio que los","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-20/novedades-google-app-chrome_2603267/","Wednesday, 20 May 2020",,,
"app","app","ENG","26 de abril era la cuarta app más descargada en Google Play y","elpais","https://verne.elpais.com/verne/2020/05/01/articulo/1588330590_985171.html","Saturday, 02 May 2020 08:12:26 +0000",,,
"app","app","ENG","4 millones de descargas de su app de rastreo de contagios y sus","elpais","https://elpais.com/tecnologia/2020-05-04/quieres-volver-al-futbol-bajate-esta-app-los-sistemas-de-rastreo-que-espana-aun-no-debate.html","Monday, 04 May 2020",,,
"app","app","ENG","de la pantalla de la app durante cuatro o cinco días","elpais","https://elpais.com/elpais/2020/05/14/dias_de_vino_y_podcasts/1589462415_734271.html#?ref=rss&format=simple&link=link","Thursday, 14 May 2020",,,
"app","app","ENG","desagradables, como cuando instalamos una app que no es la oficial que","20minutos","https://www.20minutos.es/noticia/4266594/0/alertan-problemas-seguridad-mal-uso-videollamadas/","Friday, 22 May 2020",,,
"app","app","ENG","Gobierno vasco está interesado en la app para lo que llaman el Proyecto","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG","descarga de archivos en la «app», con lo que se","abc","https://www.abc.es/tecnologia/consultorio/abci-como-ocultar-fotos-recibes-whatsapp-miradas-indiscretas-202005180125_noticia.html","Monday, 18 May 2020",,,
"app","app","ENG","de las claves de una app así es que funcione entre","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG","rigen su funcionamiento.. . La app alemana tendrá por tanto dos capas","eldiario","https://www.eldiario.es/tecnologia/alemana-controlar-coronavirus-servir-ejemplo_0_1024348404.html","Wednesday, 06 May 2020",,,
"app","app","ENG","de las conversaciones en la app.. . Seidman considera que","elpais","https://retina.elpais.com/retina/2020/05/20/talento/1590000496_652417.html","Wednesday, 20 May 2020",,,
"app","app","ENG","Google no está instalando una app secreta en tu móvil por","elconfidencial","https://www.elconfidencial.com/tecnologia/2020-05-29/google-instala-app-secreta-movil-coronavirus_2616859/","Friday, 29 May 2020",,,
"app","app","ENG","Google y Apple a acoger una app de este estilo en sus teléfonos","eldiario","https://www.eldiario.es/tecnologia/alemana-controlar-coronavirus-servir-ejemplo_0_1024348404.html","Wednesday, 06 May 2020",,,
"app","app","ENG","limitar el acceso de alguna «app» en concreto, podemos escoger","abc","https://www.abc.es/tecnologia/consultorio/abci-trucos-para-smartphone-no-espie-ubicacion-202005300119_noticia.html","Saturday, 30 May 2020",,,
"app","app","ENG","detalles concretos sobre qué tipo de app se usará en ese piloto,","elpais","https://elpais.com/tecnologia/2020-05-20/espana-lanzara-en-junio-en-canarias-el-piloto-para-la-app-de-rastreo-de-contactos-contagiados.html","Wednesday, 20 May 2020",,,
"app","app","ENG","mundo prueban sus versiones de la app y Google y Apple han ofrecido","elpais","https://elpais.com/tecnologia/2020-05-15/contagios-en-la-oficina-las-empresas-piden-la-app-de-rastreo-que-el-gobierno-no-se-decide-a-lanzar.html","Friday, 15 May 2020",,,
"app","app","ENG","salida.. . Respecto a la app que está diseñando la Conselleria de","20minutos","https://www.20minutos.es/noticia/4263305/0/playas-seguras-para-el-verano-distancia-limpieza-y-una-app-que-mide-la-afluencia/","Tuesday, 19 May 2020",,,
"app","app","ENG","municipios a través de una app en la que podría obtenerse","elpais","https://elpais.com/sociedad/2020-05-19/como-seran-los-banos-en-la-nueva-normalidad-playas-con-parcelas-y-cerradas-por-marea-alta.html","Tuesday, 19 May 2020",,,
"app","app","ENG","Grupo Industrial Pihasa). Esta app ha contribuido a despejar las dudas","abc","https://www.abc.es/economia/abci-wikifarmacia-netflix-farmaceutico-combate-covid-19-202005020154_noticia.html","Saturday, 02 May 2020 01:54:26 +0200",,,
"app","app","ENG","Museos a través de una app: Google te acerca a","elconfidencial","https://www.elconfidencial.com/cultura/2020-05-18/dia-internacional-de-los-museos-google_2598967/","Monday, 18 May 2020",,,
"app","app","ENG","lo que compras, y una app sabe identificar con quién has estado","eldiario","https://www.eldiario.es/sociedad/entrevista-margarita-val-anos-pandemia_0_1027148413.html","Sunday, 17 May 2020",,,
"app","app","ENG","los datos recogidos en su app de movilidad, se produjeron","elconfidencial","https://www.elconfidencial.com/espana/2020-05-25/coronavirus-madrid-movilidad-problema_2605344/","Monday, 25 May 2020",,,
