borrowing,lang,context,newspaper,url,date,section,start_token,end_token
after hours,ENG,1.592 y en el mercado 'after hours' subían otro 5%.,elmundo,https://www.elmundo.es/motor/2020/07/23/5f18d3e221efa0ce348b456f.html,2020-07-23 00:00:00+00:00,motor,239,241
after hours,ENG,bueno el 5% del 'after hours' en la jornada del jueves,elmundo,https://www.elmundo.es/motor/2020/07/23/5f18d3e221efa0ce348b456f.html,2020-07-23 00:00:00+00:00,motor,670,672
after hours,ENG,de la mañana un bar «after hours» en la plaza de San,abc,https://www.abc.es/espana/castilla-la-mancha/abci-policia-local-clausura-after-hours-plaza-san-francisco-ciudad-real-202007052048_noticia.html,2020-07-05 00:00:00+00:00,espana,,
after hours,ENG,La Policía Local clausura un «after hours» en la plaza de San,abc,https://www.abc.es/espana/castilla-la-mancha/abci-policia-local-clausura-after-hours-plaza-san-francisco-ciudad-real-202007052048_noticia.html,2020-07-05 00:00:00+00:00,espana,,
after people,ENG,"sin humanos' ( 'Life after people' ), los ecólogos animan",lavanguardia,https://www.lavanguardia.com/natural/20200719/482384334797/planeta-aprovecha-antopausa-pandemia-covid-19-reduccion-movimientos-humanos.html,2020-07-19 00:00:00+00:00,portada,305,307
after sun,ENG,  ¿Es recomendable usar 'after sun'?  El doctor Martínez,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-27/como-debemos-echarnos-crema-cuando-tomamos-el-sol_2691900/,2020-07-27 00:00:00+00:00,gente,922,924
after sun,ENG,  ¿Es recomendable usar 'after sun'?  El doctor Martínez,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-28/haz-caso-dermatologos-asi-debes-echarte-crema-solar-playa_2691900/,2020-07-28 00:00:00+00:00,gente,920,922
after sun,ENG,  ¿Es recomendable usar 'after sun'?  El doctor Martínez,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-29/haz-caso-dermatologos-asi-echarte-protector-solar_2691900/,2020-07-29 00:00:00+00:00,gente,920,922
after sun,ENG,  ¿Es recomendable usar 'after sun'?  El doctor Martínez,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-30/haz-caso-a-los-dermatologos-esta-es-la-forma-correcta-crema-solar_2691900/,2020-07-30 00:00:00+00:00,gente,919,921
after sun,ENG,  ¿Es recomendable usar 'after sun'?  El doctor Martínez,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-31/haz-caso-dermatologos-correcta-crema-solar-echarte-playa_2691900/,2020-07-31 00:00:00+00:00,gente,919,921
after sun,ENG,"una crema hidratante o un 'after sun' , ya que tras la",20minutos,https://www.20minutos.es/noticia/4334736/0/imprescindibles-neceser-playa-accesorios-productos-no-deberias-olvidarte-casa/,2020-07-24 00:00:00+00:00,espana,622,624
after sun,ENG,crema hidratante. Las lociones after sun contienen elementos como el mentol,20minutos,https://www.20minutos.es/noticia/4316876/0/remedios-caseros-para-quemaduras-sol/,2020-07-07 00:00:00+00:00,portada,,
after sun,ENG,delicadeza sin frotar y aplicando 'after sun' para calmar el eritema.,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-27/como-debemos-echarnos-crema-cuando-tomamos-el-sol_2691900/,2020-07-27 00:00:00+00:00,gente,1065,1067
after sun,ENG,delicadeza sin frotar y aplicando 'after sun' para calmar el eritema.,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-28/haz-caso-dermatologos-asi-debes-echarte-crema-solar-playa_2691900/,2020-07-28 00:00:00+00:00,gente,1063,1065
after sun,ENG,delicadeza sin frotar y aplicando 'after sun' para calmar el eritema.,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-29/haz-caso-dermatologos-asi-echarte-protector-solar_2691900/,2020-07-29 00:00:00+00:00,gente,1063,1065
after sun,ENG,delicadeza sin frotar y aplicando 'after sun' para calmar el eritema.,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-30/haz-caso-a-los-dermatologos-esta-es-la-forma-correcta-crema-solar_2691900/,2020-07-30 00:00:00+00:00,gente,1062,1064
after sun,ENG,delicadeza sin frotar y aplicando 'after sun' para calmar el eritema.,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-31/haz-caso-dermatologos-correcta-crema-solar-echarte-playa_2691900/,2020-07-31 00:00:00+00:00,gente,1062,1064
after,ENG,"escudo en mano a un 'after' de Madrid, el club",elpais,https://elpais.com/espana/madrid/2020-07-27/desmantelada-una-fiesta-ilegal-tratabamos-de-guardar-las-drogas-donde-podiamos.html,2020-07-27 00:00:00+00:00,espana,92,93
aftersun,ENG,hidratante común o usar un 'aftersun.'  ¿'Aftersun,20minutos,https://www.20minutos.es/noticia/4323204/0/aftersun-crema-hidratante-cual-es-mas-recomendable-tras-tomar-sol/,2020-07-14 00:00:00+00:00,salud,149,150
afterworking,ENG,en tus pies para las citas afterworking y tus looks casuals del fin,elconfidencial,https://www.vanitatis.elconfidencial.com/estilo/moda/2020-07-31/sandalias-negras-cuna-trenzada-parfois-low-cost_2696584/,2020-07-31 00:00:00+00:00,moda,484,485
agenda setting,ENG,la hora de establecer la 'agenda setting' en los medios de comunicación,elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-21/andrew-doyle-titania-mcgrath-entrevista-woke_2686567/,2020-07-21 00:00:00+00:00,gente,1085,1087
agribashing,ENG,"Francia más profunda, el 'agribashing', literalmente el acoso al",elpais,https://elpais.com/internacional/2020-07-18/la-autoestima-recobrada-del-campesino-frances.html,2020-07-18 00:00:00+00:00,internacional,642,643
airbag,ENG,"más conocida es la del airbag, pero no es la",eldiario,https://www.eldiario.es/tecnologia/caja-negra-cambiara-resolucion-accidentes-coche-llevar-saberlo_1_6093612.html,2020-07-09 00:00:00+00:00,tecnologia,,
airbag,ENG,contener varias cajas. Los airbag del vehículo aparecían activados.,elmundo,https://www.elmundo.es/internacional/2020/07/02/5efe3b1c21efa09c738b462e.html,2020-07-02 00:00:00+00:00,internacional,,
airbag,ENG,igual que la centralita del airbag activa este sistema de seguridad,eldiario,https://www.eldiario.es/tecnologia/caja-negra-cambiara-resolucion-accidentes-coche-llevar-saberlo_1_6093612.html,2020-07-09 00:00:00+00:00,tecnologia,,
airbag,ENG,multinacional que fabricaba volantes y airbag para la industria del automóvil,elpais,https://elpais.com/espana/2020-07-11/la-nueva-diaspora-gallega-huye-del-maltrato-laboral.html,2020-07-11 00:00:00+00:00,espana,,
airbag,ENG,Safety Sense TSS y el primer airbag central de serie que va situado,20minutos,https://www.20minutos.es/noticia/4316498/0/comienza-la-cuenta-atras-para-el-nuevo-toyota-yaris/,2020-07-07 00:00:00+00:00,portada,,
all star,ENG,"este tema le acompaña un 'all star' del 'reguetón',",elpais,https://elpais.com/cultura/2020-07-13/el-disco-mas-vendido-en-espana-y-su-discutida-version-de-bob-marley.html,2020-07-13 00:00:00+00:00,portada,413,415
all-stars,ENG,"Quintet, una especie de 'all-stars' de la escena 'jazzística",elpais,https://elpais.com/cultura/2020-07-24/maestro-michel-portal.html,2020-07-24 00:00:00+00:00,cultura,224,227
alopecia areata,ENG,"que en el caso de la alopecia areata ""no se puede dar tiempo",elconfidencial,https://www.elconfidencial.com/alma-corazon-vida/2020-07-25/alopecia-areata-calvas-barba-origen-duracion-tratamiento-solucion_2684779/,2020-07-25 00:00:00+00:00,gente,859,861
als moments,ENG,"què va apel·lar a l’atemporalitat, als moments entre esta­cions en què no fa",lavanguardia,https://www.lavanguardia.com/cultura/20200728/482563534846/en-transit-emocional.html,2020-07-28 00:00:00+00:00,cultura,309,311
alt-right,ENG,a la derecha alternativa o 'alt-right' en inglés.  Todavía,20minutos,https://www.20minutos.es/noticia/4323528/0/hackean-el-twitter-de-rafael-palacios-despues-de-su-enfrentamiento-con-la-youtuber-la-gata-de-schroedinger/,2020-07-14 00:00:00+00:00,gente,580,583
alt-right,ENG,"radical, conocida como  alt-right . Esto, antes",elpais,https://elpais.com/internacional/2020-07-11/roger-stone-el-escapista-de-escandalos.html,2020-07-11 00:00:00+00:00,internacional,,
ambient,ENG,"' y otro en el 'ambient', bailable, luminosa y",elpais,https://elpais.com/elpais/2020/07/28/icon/1595942231_904867.html,2020-07-28 00:00:00+00:00,portada,424,425
amour fou,ENG,"cochambroso. La historia de 'amour fou', deficiente si no fuera",elpais,https://elpais.com/elpais/2020/07/24/eps/1595592540_102327.html,2020-07-25 00:00:00+00:00,portada,2387,2389
amour fou,ENG,una extrema gran aventura de amour fou que muy pocos saben que,elpais,https://elpais.com/cultura/2020-07-06/explicame-a-duras.html,2020-07-06 00:00:00+00:00,cultura,,
amour fou,ENG,una extrema gran aventura de 'amour fou' que muy pocos saben que,elpais,https://elpais.com/cultura/2020-07-06/explicame-a-duras.html,2020-07-06 00:00:00+00:00,cultura,507,509
amour,ENG,el toque nihilista de un amour fou comme il faut.,elmundo,https://www.elmundo.es/cultura/cine/2020/07/10/5f075724fdddffa4b28b45b9.html,2020-07-10 00:00:00+00:00,cultura,,
animal print,ENG,", 'emojis', 'animal print' o líneas alternas en colores",20minutos,https://www.20minutos.es/noticia/4324196/0/kylie-jenner-muestra-la-solucion-perfecta-para-llevar-varias-tendencias-en-una-sola-manicura/,2020-07-14 00:00:00+00:00,gente,241,243
animal print,ENG,", flores e incluso el ‘animal print’ de vaca para las más",lavanguardia,https://www.lavanguardia.com/de-moda/moda/20200724/482481440173/alohas-primera-coleccion-zapatos-inspirada-busquedas-pinterest.html,2020-07-24 00:00:00+00:00,moda,270,272
animal print,ENG,"colecciones encontramos modelos con estampados 'animal print', con efecto marmorizado o",elpais,https://elpais.com/espana/madrid/2020-07-14/vajillas-que-levantan-el-animo.html,2020-07-14 00:00:00+00:00,gente,826,828
animal print,ENG,cuerpo trabajado en un bikini 'animal print' clásico.  Al parecer,20minutos,https://www.20minutos.es/noticia/4339971/0/edurne-y-cristina-pedroche-se-suman-al-baile-viral-de-tiktok-haciendo-la-coreografia-de-moda-en-banador/,2020-07-30 00:00:00+00:00,portada,325,327
animal print,ENG,"estampado que ha rediseñado el 'animal print' , siendo mucho más actual",20minutos,https://www.20minutos.es/noticia/4339971/0/edurne-y-cristina-pedroche-se-suman-al-baile-viral-de-tiktok-haciendo-la-coreografia-de-moda-en-banador/,2020-07-30 00:00:00+00:00,portada,266,268
animal print,ENG,estampados y un llamativo bolso ’animal print’ de Chrome Hearts.  ,lavanguardia,https://www.lavanguardia.com/de-moda/moda/20200728/482570400388/bella-hadid-top-corto-sujetador-chrome-hearts-tendencia.html,2020-07-28 00:00:00+00:00,moda,321,323
animal print,ENG,"los tonos pastel, el 'animal print', el tacón bajo y",20minutos,https://www.20minutos.es/noticia/4333545/0/alohas-la-primera-marca-espanola-en-crear-su-calzado-a-partir-de-lo-mas-buscado-en-pinterest/,2020-07-23 00:00:00+00:00,gente,197,199
animal print,ENG,Paula Echevarría confirma que el ‘animal print’ también se lleva en verano,lavanguardia,https://www.lavanguardia.com/de-moda/moda/20200717/482342685132/paula-echevarria-vestido-animal-print-mango-tendencias.html,2020-07-17 00:00:00+00:00,moda,6,8
animal print,ENG,torso y un detalle en 'animal print' rosa y azul oscuro en,20minutos,https://www.20minutos.es/deportes/noticia/4341104/0/camiseta-real-madrid-2020-2021-rosa/,2020-07-31 00:00:00+00:00,deporte,139,141
animal print,ENG,visitó Cuenca con un mono ‘animal print’ de Mango que se agotó,lavanguardia,https://www.lavanguardia.com/de-moda/moda/20200717/482342685132/paula-echevarria-vestido-animal-print-mango-tendencias.html,2020-07-17 00:00:00+00:00,moda,47,49
anime,ENG,"""espectáculos variedades"" y ""anime"".  Dentro de """,eldiario,https://vertele.eldiario.es/noticias/iQIYI-Llega-Espana-contenidos-gratuitos-Plataforma-Streaming-China-Catalogo-Gratis-Legal-Netflix_0_2252474767.html,2020-07-26 00:00:00+00:00,television,794,795
anime,ENG,"tus servilletas. En el 'anime' japonés no sale, pero",elpais,https://elcomidista.elpais.com/elcomidista/2020/07/17/articulo/1594986473_522785.html,2020-07-29 00:00:00+00:00,portada,818,819
antimalware,ENG,cualquier programa antivirus y/o antimalware que tengamos es un coladero (,elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-03/red-wifi-publica-trabajar-seguro-teletrabajar_2666267/,2020-07-03 00:00:00+00:00,tecnologia,,
antiselfies,ENG,"para Masats, será disparar antiselfies, forzar los encuadres o",abc,https://www.abc.es/cultura/cultural/abci-espana-masats-saco-punta-punta-202007120125_noticia.html,2020-07-12 00:00:00+00:00,cultura,,
app,ENG,  ¿Cuántas alertas envió la app alemana a raíz del aviso de,eldiario,https://www.eldiario.es/tecnologia/apps-rastreo-contagios-son-utiles-usuarios-estudios-preeliminares_1_6134465.html,2020-07-29 00:00:00+00:00,tecnologia,942,943
app,ENG,  A partir de ahora la app de Google Maps aún será más,lavanguardia,https://www.lavanguardia.com/motor/20200717/482205619183/google-maps-novedad-semaforo-ruta-rapidez.html,2020-07-17 00:00:00+00:00,motor,215,216
app,ENG,"  Asimismo, desde la propia app, definida por los responsables de",lavanguardia,https://www.lavanguardia.com/economia/20200713/482250529735/donde-estan-mis-tarjetas.html,2020-07-13 00:00:00+00:00,portada,986,987
app,ENG,  En España este tipo de app se está probando en La Gomera,eldiario,https://www.eldiario.es/tecnologia/20-alemanes-descargado-app-rastreo-contagios-mes-buen-comienzo-autoridades-expertos_1_6100837.html,2020-07-18 00:00:00+00:00,tecnologia,1149,1150
app,ENG,  Los datos conseguidos por la app de rastreo están ahora en manos,eldiario,https://www.eldiario.es/tecnologia/pruebas-app-espanola-rastreo-contagios-arrojan-resultados-positivos-no-llegara-septiembre_1_6130075.html,2020-07-27 00:00:00+00:00,tecnologia,967,968
app,ENG,"  No se trata de una app, sino de “códigos informáticos",lavanguardia,https://www.lavanguardia.com/vida/20200717/482339763221/observatorio-epidemiologico-big-data-inteligencia-artificial.html,2020-07-17 00:00:00+00:00,portada,219,220
app,ENG,"  Reconoce que le gusta la app: ""Lo que más me",eldiario,https://www.eldiario.es/tecnologia/antirracismo-espanol-abre-camino-tiktok_1_6114611.html,2020-07-19 00:00:00+00:00,tecnologia,590,591
app,ENG, Google Fit Descarga la app en tu teléfono móvil (disponible,elconfidencial,https://www.vanitatis.elconfidencial.com/estilo/ocio/2020-07-13/adelgazar-caminando-apps-google-play-app-store-contar-pasos_2674607/,2020-07-13 00:00:00+00:00,moda,222,223
app,ENG,"""Lo más relevante de la app es que ha doblado los datos",20minutos,https://www.20minutos.es/noticia/4341659/0/sanchez-ofrece-a-las-comunidades-la-app-para-rastrear-contagios-por-covid-19-probada-en-la-gomera/,2020-07-31 00:00:00+00:00,espana,230,231
app,ENG,"""Los datos demuestran que la app funciona"", explica el Instituto",eldiario,https://www.eldiario.es/tecnologia/20-alemanes-descargado-app-rastreo-contagios-mes-buen-comienzo-autoridades-expertos_1_6100837.html,2020-07-18 00:00:00+00:00,tecnologia,34,35
app,ENG,"% el tráfico en la 'app”', asegura la emprendedora",elpais,https://elpais.com/economia/estar-donde-estes/2020-07-23/emprendedoras-al-frente-de-la-recuperacion-asi-combaten-la-incertidumbre.html,2020-07-23 00:00:00+00:00,portada,1006,1007
app,ENG,"), Mi playa segura y app de la Junta (Andalucía)",eldiario,https://www.eldiario.es/sociedad/vigilantes-playa-drones-apps-verano-costas_1_6108097.html,2020-07-18 00:00:00+00:00,sociedad,1268,1269
app,ENG,", a través de la app y la función compartir pantalla",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-01/samsung-the-sero-tv-prueba-opiniones-giratoria_2664828/,2020-07-01 00:00:00+00:00,tecnologia,,
app,ENG,", como ocurrió con la app de citas Ashley Madison",elpais,https://retina.elpais.com/retina/2020/07/10/tendencias/1594379791_922642.html,2020-07-10 00:00:00+00:00,portada,,
app,ENG,", desactivar esta función de la app.. . Mosquito Alert",20minutos,https://www.20minutos.es/noticia/4319248/0/esta-primavera-ha-registrado-el-mayor-numero-de-mosquitos-tigre-de-los-ultimos-cinco-anos/,2020-07-09 00:00:00+00:00,ciencia,,
app,ENG,", desactivar esta función de la app.. . Vigilancia ciudadana. . Mosquito",eldiario,https://www.eldiario.es/sociedad/primavera-registrado-mayor-numero-mosquitos-tigre-ultimos-cinco-anos_1_6094732.html,2020-07-09 00:00:00+00:00,sociedad,,
app,ENG,", Google Pay o desde la app de Liberbank.",lavanguardia,https://www.lavanguardia.com/economia/finanzas-personales/20200714/482209836788/cambiar-cuenta-sin-comisiones-ganar-350-euros.html,2020-07-14 00:00:00+00:00,economia,644,645
app,ENG,", la nueva versión de la app Camino Santiago, además de incluir",lavanguardia,https://www.lavanguardia.com/ocio/viajes/20200724/482480421622/app-camino-de-santiago-recomendaciones-covid.html,2020-07-24 00:00:00+00:00,viajes,290,291
app,ENG,", las localizaciones de la app se vinculan a un identificador",20minutos,https://www.20minutos.es/noticia/4319248/0/esta-primavera-ha-registrado-el-mayor-numero-de-mosquitos-tigre-de-los-ultimos-cinco-anos/,2020-07-09 00:00:00+00:00,ciencia,,
app,ENG,", los canales digitales ('app', web y 'call",elconfidencial,https://www.elconfidencial.com/empresas/2020-07-16/banco-santander-covid-empresas-prestamos-horeca-bra_2679383/,2020-07-16 00:00:00+00:00,economia,1048,1049
app,ENG,", planteó Sánchez.  La app, diseñada por el Gobierno,",20minutos,https://www.20minutos.es/noticia/4341659/0/sanchez-ofrece-a-las-comunidades-la-app-para-rastrear-contagios-por-covid-19-probada-en-la-gomera/,2020-07-31 00:00:00+00:00,espana,302,303
app,ENG,", se cree que esta «app» es otra pata más de",abc,https://www.abc.es/tecnologia/redes/abci-esta-tiktok-centro-nueva-crisis-entre-estados-unidos-y-china-202007220137_noticia.html,2020-07-22 00:00:00+00:00,tecnologia,842,843
app,ENG,", según lo activas desde la app. Una app, disponible para",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-31/tile-localizadores-gps-mochilas-llaves-coche_2699408/,2020-07-31 00:00:00+00:00,tecnologia,843,844
app,ENG,". A través de la 'app', podrás consultar también la",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-31/tile-localizadores-gps-mochilas-llaves-coche_2699408/,2020-07-31 00:00:00+00:00,tecnologia,747,748
app,ENG,". A través de la 'app', podrás pedir ayuda a",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-31/tile-localizadores-gps-mochilas-llaves-coche_2699408/,2020-07-31 00:00:00+00:00,tecnologia,621,622
app,ENG,". El sistema que utiliza la app alemana es descentralizado, por lo",eldiario,https://www.eldiario.es/tecnologia/20-alemanes-descargado-app-rastreo-contagios-mes-buen-comienzo-autoridades-expertos_1_6100837.html,2020-07-18 00:00:00+00:00,tecnologia,514,515
app,ENG,". En el caso de la app de mensajería, ha hecho referencia",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-29/cuatro-tech-declaran-congreso_2699756/,2020-07-29 00:00:00+00:00,tecnologia,1836,1837
app,ENG,". Hasta ahora, si una app te pedía permiso para acceder a",20minutos,https://www.20minutos.es/noticia/4321171/0/mejores-funciones-llegan-movil-android-11/,2020-07-11 00:00:00+00:00,portada,,
app,ENG,. Recogerá la conversación y la app hará el resto.  Si,elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-13/google-auriculares-airpods-pixel-buds-opiniones_2674824/,2020-07-13 00:00:00+00:00,tecnologia,1995,1996
app,ENG,"; a Europa, donde la app es muy popular, pero no",elmundo,https://www.elmundo.es/tecnologia/2020/07/22/5f16f255fdddffbd2c8b4578.html,2020-07-22 00:00:00+00:00,portada,800,801
app,ENG,"¿Aceptas instalarte provisionalmente una 'app' que, de forma anónima",elpais,https://retina.elpais.com/retina/2020/07/30/talento/1596102877_453480.html,2020-07-31 00:00:00+00:00,tecnologia,488,489
app,ENG,¿cuántos datos consume cada 'app'? La OCU ha,elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-15/datos-apps-google-maps-waze_2682788/,2020-07-15 00:00:00+00:00,tecnologia,15,16
app,ENG,12 66 Signal es una app de mensajería instantánea y llamadas telefónicas,elmundo,https://www.elmundo.es/television/2019/01/30/5c507bbffc6c833e1a8b46be.html,2020-07-01 00:00:00+00:00,television,199,200
app,ENG,"2021 ampliar las funcionalidades de la app. Así, el usuario podrá",lavanguardia,https://www.lavanguardia.com/economia/20200713/482250529735/donde-estan-mis-tarjetas.html,2020-07-13 00:00:00+00:00,portada,931,932
app,ENG,24 MP.  La 'app' específica se guía por la,20minutos,https://www.20minutos.es/noticia/4341556/0/analisis-del-tcl-10-pro-un-tapado-que-conquista-por-su-gran-pantalla-curva/,2020-07-31 00:00:00+00:00,portada,625,626
app,ENG,"a desarrollar la idea. La app Sidehide, que permite hacer reservas",eldiario,https://www.eldiario.es/internacional/pasaporte-inmunidad-experimento-descartado-mundo-hizo-rectificar-gobierno-chile_1_6132598.html,2020-07-28 00:00:00+00:00,internacional,791,792
app,ENG,"a los dirigentes autonómicos, la app ""se trata de un complemento",20minutos,https://www.20minutos.es/noticia/4341659/0/sanchez-ofrece-a-las-comunidades-la-app-para-rastrear-contagios-por-covid-19-probada-en-la-gomera/,2020-07-31 00:00:00+00:00,espana,169,170
app,ENG,"a sus contactos registrados en la app de que han dado positivo,",eldiario,https://www.eldiario.es/tecnologia/20-alemanes-descargado-app-rastreo-contagios-mes-buen-comienzo-autoridades-expertos_1_6100837.html,2020-07-18 00:00:00+00:00,tecnologia,419,420
app,ENG,"a ver Netflix en la app, reza el mensaje de",elconfidencial,https://www.elconfidencial.com/empresas/2020-07-02/truco-legal-netflix-spotify-tinder-no-pagar-apple_2662355/,2020-07-02 00:00:00+00:00,economia,,
app,ENG,"activas desde la app. Una app, disponible para Android o para",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-31/tile-localizadores-gps-mochilas-llaves-coche_2699408/,2020-07-31 00:00:00+00:00,tecnologia,846,847
app,ENG,"al alcance de Instagram, esta app podría ‘recoger’ a las",20minutos,https://www.20minutos.es/noticia/4341084/0/instagram-lanza-reels-una-funcion-para-crear-y-publicar-videos-cortos-sera-el-golpe-final-a-tiktok/,2020-07-31 00:00:00+00:00,tecnologia,339,340
app,ENG,al Estado de espiarle con una app israelí Unidas Podemos se suma,abc,https://www.abc.es/espana/abci-roger-torrent-acusa-estado-espiarle-israeli-202007150248_noticia.html,2020-07-15 00:00:00+00:00,portada,9,10
app,ENG,"alemán y encargado de desarrollar la app. No obstante, el porcentaje",eldiario,https://www.eldiario.es/tecnologia/20-alemanes-descargado-app-rastreo-contagios-mes-buen-comienzo-autoridades-expertos_1_6100837.html,2020-07-18 00:00:00+00:00,tecnologia,238,239
app,ENG,"allá de la utilidad de la app, Sánchez pidió a los presidentes",20minutos,https://www.20minutos.es/noticia/4341659/0/sanchez-ofrece-a-las-comunidades-la-app-para-rastrear-contagios-por-covid-19-probada-en-la-gomera/,2020-07-31 00:00:00+00:00,espana,460,461
app,ENG,anónimos.  Es una «app» que se ha desarrollado por,abc,https://www.abc.es/tecnologia/abci-comunidades-autonomas-podran-adaptar-aplicacion-rastreo-gobierno-202007311935_noticia.html,2020-07-31 00:00:00+00:00,tecnologia,147,148
app,ENG,"así como el uso de la app) es voluntario.  """,eldiario,https://www.eldiario.es/tecnologia/20-alemanes-descargado-app-rastreo-contagios-mes-buen-comienzo-autoridades-expertos_1_6100837.html,2020-07-18 00:00:00+00:00,tecnologia,439,440
app,ENG,"Así funciona Radar Covid, la app de rastreo de contagiados de coronavirus",elpais,https://elpais.com/tecnologia/2020-07-01/asi-funciona-radar-covid-la-app-de-rastreo-de-contagiados-de-coronavirus.html,2020-07-01 00:00:00+00:00,tecnologia,,
app,ENG,"bastante inapropiados. Si tienes esta app, creeme, destrozará tu teléfono",elmundo,https://www.elmundo.es/tecnologia/2020/07/02/5efe150afdddff99a38b489f.html,2020-07-02 00:00:00+00:00,portada,,
app,ENG,"bluetooth en los móviles, la app no logró atajar los contagios.",elpais,https://elpais.com/tecnologia/2020-07-12/hace-anos-hicimos-el-primer-estudio-sobre-las-apps-de-rastreo-de-contagios-y-nos-decian-que-era-ridiculo.html,2020-07-12 00:00:00+00:00,portada,552,553
app,ENG,"busca en Google, descarga una app en su iPhone o vincula su",elconfidencial,https://www.elconfidencial.com/tecnologia/2020-07-29/cuatro-tech-declaran-congreso_2699756/,2020-07-29 00:00:00+00:00,tecnologia,245,246
app,ENG,"cantidad de recetas, su app específica, la conectividad Wifi",eldiario,https://www.eldiario.es/consumoclaro/ahorrar_mejor/cocina-ventajas-Smart-Cooking-economico_0_1043946011.html,2020-07-03 00:00:00+00:00,estilo de vida,,
app,ENG,"Catalyst, que facilita trasladar cualquier app de una plataforma a otra.",lavanguardia,https://www.lavanguardia.com/tecnologia/20200713/482201284190/todo-lo-que-cambia-con-apple-silicon.html,2020-07-13 00:00:00+00:00,tecnologia,390,391
app,ENG,"censura o la prohibición de la app rápidamente emigran a sus competidores,",elmundo,https://www.elmundo.es/tecnologia/2020/07/22/5f16f255fdddffbd2c8b4578.html,2020-07-22 00:00:00+00:00,portada,942,943
